          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0510986      1.05962     0.375422      0.79784 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0605296      1.08073     0.363168     0.746971 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0361185       1.0769     0.568007      1.47211 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0373171     0.971244    -0.249158    -0.664549 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0388308     0.939075     -0.49503     -1.11758 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0422644     0.920302    -0.689807     -1.69935 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0501827     0.929225    -0.501614     -1.08477 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0558126     0.926564    -0.395544    -0.782605 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0290742      1.01857     0.116739     0.405061 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0278044     0.969701    -0.272485     -0.79881 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0279803      0.89252     -1.04487     -2.67014 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0292987     0.912702    -0.678575     -1.54271 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461     0.032521     0.951385    -0.380541    -0.880229 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0398387     0.965243    -0.225262    -0.465951 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0449817     0.795923     -1.22962     -2.41246 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0292268      1.02837     0.259595     0.802778 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0243373      1.00796    0.0742946      0.22975 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0228011     0.949865    -0.458344     -1.33763 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0226732     0.945476     -0.40083    -0.935253 
