          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0448   0.00999301    0.0517263     0.866098     -0.69311    -0.899773 
        11.5       0.0005        0.699      2.22533       1        0.064    0.0160839    0.0558182      1.14658     0.508697     0.690871 
        11.5        0.003        0.089      10.8496       2       0.0219   0.00357628    0.0220049     0.995234   -0.0293265   -0.0379496 
        11.5        0.003        0.101      10.1174       3        0.019   0.00237477    0.0232338     0.817774     -1.78282     -2.47376 
        11.5        0.003        0.117      9.31615       4        0.023   0.00251532    0.0241395     0.952794    -0.453039    -0.696645 
        11.5        0.003        0.155      7.91793       5       0.0251   0.00230004    0.0251788     0.996869   -0.0342756   -0.0773459 
        11.5        0.003        0.244      5.96918       6       0.0262   0.00237988     0.027218     0.962599    -0.427743     -1.01133 
        11.5        0.003        0.361      4.51176       7       0.0317   0.00290033    0.0310213      1.02188     0.234019     0.537636 
        11.5        0.003        0.631      2.59327       8       0.0403   0.00426914    0.0400055      1.00736    0.0689773     0.131048 
          44        0.003        0.341      9.22129       9       0.0202   0.00658037    0.0339655     0.594721     -2.09191     -2.20858 
          44        0.003        0.386      8.36598      10       0.0355   0.00451618    0.0354516      1.00137    0.0107157    0.0142435 
          44        0.003        0.446      7.39288      11       0.0327   0.00378078    0.0369333      0.88538     -1.11969     -1.65416 
          44        0.003        0.592      5.50675      12       0.0387   0.00413963    0.0383602      1.00886    0.0820947     0.190721 
