          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0617427      1.02263     0.330438      1.15201 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925    0.0307842      1.04827     0.835078      2.55401 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0360967      1.01117      0.20132      0.56904 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0442642      1.00262    0.0463924     0.114418 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0313175      1.31141      1.79345      2.01434 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0372868      1.02986     0.533834      1.62822 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0448534      1.00817     0.145108     0.381364 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316    0.0383277      1.01545     0.277647     0.792192 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538    0.0454239     0.996833   -0.0571895    -0.154106 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0448237      1.00617    0.0973098     0.228039 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0385485      1.34532      1.03871      1.07211 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0456756      1.04301     0.732013      2.00013 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0433043      1.03893     0.605258      1.39439 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0456602      1.03329     0.541122      1.23083 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0411254      1.05628     0.829927      1.75195 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463    0.0395755      1.02285     0.316853     0.607685 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0275893      0.98299    -0.301779    -0.751652 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678    0.0269724      1.00028   0.00504783    0.0126966 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0266384     0.996683   -0.0600194    -0.149896 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0284563     0.966745    -0.613089     -1.50848 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624     0.033787      1.00275    0.0485292     0.117145 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0406944      1.03036     0.509832      1.12268 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0283425      1.32804      1.59502      1.74207 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0286945     0.968826    -0.574595     -1.54634 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053     0.028306     0.965166    -0.652763     -1.75069 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0298335     0.973066    -0.509794     -1.34265 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957    0.0346206     0.996229   -0.0688752    -0.171897 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0401939      1.00289    0.0506967     0.115959 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0302797      0.90952     -1.74101     -4.36256 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0302172     0.991488    -0.155533    -0.429269 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0314665      1.01505     0.277167     0.771768 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608     0.035573      1.01706     0.308712     0.813751 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0395007     0.994158    -0.103167    -0.243986 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255    0.0306752      1.18825     0.744884     0.785026 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0314105      1.00476    0.0870571     0.229711 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981    0.0325883     0.983482    -0.311179    -0.874314 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0362023      1.02369     0.428081       1.1572 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0389549      1.00347    0.0599815     0.143528 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0323916     0.966917    -0.596233     -1.42068 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0339865       0.9798     -0.38531     -1.03084 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0369918     0.997788   -0.0405787    -0.103612 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0381189      1.04279     0.687167        1.652 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0346962     0.952841    -0.887631     -2.04453 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0374451      1.03405     0.597076       1.4523 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0374863      1.02544      0.40462       0.8761 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0377888     0.999237   -0.0134043   -0.0283605 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0367541      1.01431     0.225183     0.452971 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0356991      0.98938    -0.135477    -0.202499 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0319375     0.943719    -0.924533     -1.55813 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288    0.0298762     0.992762    -0.114841    -0.195966 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0269677      1.01306     0.205394     0.354273 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322    0.0241992      1.05169     0.785093      1.35021 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0225914     0.958329    -0.688121     -1.16882 
          12         0.01          0.2       6.9282      53      0.02283   0.00150609    0.0224275      1.01795      0.26725     0.419653 
          12         0.01         0.32      5.04975      54       0.0242   0.00173786    0.0245907      0.98411    -0.224845    -0.317825 
          15         0.01         0.02      27.1109      55      0.03639   0.00584544    0.0332291      1.09512     0.540744     0.600934 
          15         0.01        0.032      21.3014      56      0.03226   0.00198524    0.0322825     0.999303   -0.0113365   -0.0216639 
          15         0.01         0.05      16.8819      57      0.03067   0.00186281    0.0293041      1.04661     0.733274      1.41835 
