          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453     0.052095      1.03935     0.252635     0.536895 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549     0.061295      1.06723     0.306281     0.629964 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0360304      1.07953     0.586017      1.51879 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0372761     0.972311    -0.239646    -0.639179 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0387532     0.940955    -0.478801     -1.08094 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311    0.0421138     0.923593    -0.658962     -1.62337 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0499085      0.93433    -0.462887     -1.00102 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0554648     0.932375    -0.361978    -0.716194 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0290565      1.01919     0.120576     0.418373 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0277774     0.970647    -0.263726     -0.77313 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0279062     0.894891     -1.01911     -2.60432 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0291774     0.916498    -0.646376      -1.4695 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0323354     0.956846     -0.33587    -0.776903 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0395515     0.972253    -0.178539    -0.369305 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547    0.0446339     0.802126     -1.18303     -2.32105 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0292814      1.02645     0.242494     0.749893 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0243846      1.00601     0.056169     0.173698 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0227875     0.950432    -0.452894     -1.32172 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0226137     0.947966    -0.381523    -0.890204 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347     0.023373      1.10628     0.240074      0.42374 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0255092      1.16091     0.400416     0.721574 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0479982     0.828781     -1.08425     -2.18986 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0397726     0.961289    -0.335921     -1.60567 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0318957      1.12247     0.958409      3.26897 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481    0.0288902       1.1551     0.348751     0.609694 
        15.3        0.035        0.562      3.45314      25     0.020774     0.010735    0.0268471      0.77379     -0.56573     -1.00807 
        26.5        0.075       0.0056      68.5977      26     0.079339    0.0247778    0.0698162       1.1364     0.384329     0.706042 
        26.5        0.025       0.0178      38.2396      27     0.039559   0.00658084    0.0435625     0.908097    -0.608362     -1.24611 
        26.5        0.035       0.0178      38.2396      28     0.044642    0.0077914     0.046258     0.965065     -0.20741    -0.420924 
        26.5         0.05       0.0178      38.2396      29      0.05525   0.00814596    0.0500319       1.1043      0.64058      1.38383 
        26.5        0.075       0.0178      38.2396      30     0.055029    0.0113724    0.0580473     0.948003    -0.265407    -0.534538 
        26.5       0.0085       0.0562      21.0957      31     0.034697   0.00653788    0.0335991      1.03268     0.167927     0.471694 
        26.5        0.016       0.0562      21.0957      32      0.03315   0.00408189    0.0331689     0.999429  -0.00464132   -0.0115461 
        26.5        0.025       0.0562      21.0957      33     0.029614   0.00370329    0.0331463     0.893433     -0.95383     -2.15134 
        26.5        0.035       0.0562      21.0957      34     0.034697   0.00536178     0.034241      1.01332    0.0850485     0.177604 
        26.5         0.05       0.0562      21.0957      35     0.040664   0.00581978    0.0372385      1.09199     0.588598       1.3156 
        26.5        0.075       0.0562      21.0957      36     0.046631   0.00723472    0.0443641       1.0511     0.313336     0.638328 
        26.5         0.09       0.0562      21.0957      37     0.052377    0.0105271    0.0494528      1.05913      0.27778     0.551721 
        26.5       0.0025        0.178      11.0624      38     0.030498   0.00399163     0.031848     0.957612    -0.338203    -0.817474 
        26.5       0.0085        0.178      11.0624      39     0.027846   0.00353567    0.0277272      1.00429    0.0336115    0.0842827 
