          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0519662     0.877493    -0.637257    -0.822204 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529    0.0547098     0.910257    -0.440231    -0.539903 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588    0.0237732     0.933824    -0.550304    -0.722515 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141    0.0244276     0.929277    -0.654045    -0.933338 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791    0.0249177      1.02738     0.243844      0.37227 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458     0.025575       1.1261      1.21034      2.69073 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876    0.0274346      1.02425     0.256046     0.557983 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692    0.0311301     0.912299     -1.00486     -2.00187 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216    0.0346215      1.09469     0.694276     0.927842 
          44        0.003        0.386      8.36598       9        0.035   0.00420408    0.0359384     0.973888    -0.223218    -0.308451 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0372897     0.847419     -1.49707     -2.15931 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0385294      1.06931     0.599373      1.34985 
