          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
          12       0.0003         0.67      2.43114       0      0.06314   0.00422849    0.0619018         1.02     0.292819      1.02086 
          12        0.001          0.2       6.9282       1      0.03227   0.00177925      0.03034      1.06361      1.08472       3.3175 
          12        0.001         0.32      5.04975       2       0.0365   0.00200318    0.0361821      1.00878     0.158674       0.4485 
          12        0.001          0.5       3.4641       3      0.04438   0.00249596    0.0443062      1.00167    0.0295674    0.0729225 
          15        0.001          0.2      7.74597       4      0.04107   0.00543786    0.0304592      1.34836      1.95128       2.1916 
          15        0.001         0.32      5.64579       5       0.0384    0.0020853    0.0372705      1.03031     0.541643      1.65204 
          15        0.001          0.5      3.87298       6      0.04522   0.00252666    0.0449604      1.00577     0.102726     0.269978 
          20        0.001         0.32       6.5192       7      0.03892   0.00213316     0.038042      1.02308     0.411619      1.17444 
          20        0.001          0.5      4.47214       8      0.04528   0.00251538      0.04557     0.993636    -0.115294    -0.310678 
          20        0.001          0.8      2.23607       9       0.0451   0.00283987    0.0455719     0.989645    -0.166167    -0.389401 
          25        0.001         0.32      7.28869      10      0.05186    0.0128154    0.0379665      1.36594      1.08412      1.11899 
          25        0.001          0.5            5      11      0.04764   0.00268353    0.0458303      1.03949     0.674379      1.84266 
          25        0.001          0.8          2.5      12      0.04499   0.00278502    0.0436908      1.02974     0.466494      1.07471 
          35        0.001          0.5      5.91608      13      0.04718    0.0028087    0.0456163      1.03428     0.556718       1.2663 
          35        0.001          0.8      2.95804      14      0.04344   0.00278897    0.0413901      1.04953     0.735005      1.55158 
          45        0.001          0.8       3.3541      15      0.04048   0.00285463     0.039785      1.01747     0.243455     0.466917 
          12        0.003        0.067      12.9269      16      0.02712   0.00155509    0.0270659        1.002    0.0347993    0.0866759 
          12        0.003         0.11      9.85347      17      0.02698   0.00150678     0.026767      1.00796     0.141368     0.355578 
          12        0.003         0.17       7.6543      18      0.02655   0.00147227    0.0266747     0.995325   -0.0847044    -0.211546 
          12        0.003         0.27        5.696      19      0.02751    0.0015435    0.0285863     0.962349     -0.69732     -1.71572 
          12        0.003         0.43      3.98836      20      0.03388   0.00191624    0.0338027      1.00229     0.040351    0.0974038 
          12        0.003         0.67      2.43114      21      0.04193   0.00242361    0.0407222      1.02966     0.498345      1.09738 
          15        0.003        0.067      14.4527      22      0.03764    0.0058291    0.0276919      1.35924      1.70663      1.86397 
          15        0.003         0.11      11.0165      23       0.0278    0.0015568    0.0285356     0.974221    -0.472524     -1.27165 
          15        0.003         0.17      8.55776      24      0.02732   0.00151053    0.0283788     0.962691     -0.70093     -1.87987 
          15        0.003         0.27      6.36832      25      0.02903    0.0015762    0.0299728     0.968545    -0.598143     -1.57534 
          15        0.003         0.43      4.45912      26      0.03449    0.0018957     0.034684     0.994406    -0.102351    -0.255444 
          15        0.003         0.67       2.7181      27      0.04031   0.00229023    0.0402556      1.00135    0.0237704    0.0543702 
          20        0.003         0.11      12.7208      28      0.02754   0.00157364    0.0300179     0.917452     -1.57465      -3.9457 
          20        0.003         0.17      9.88165      29      0.02996   0.00165378    0.0302778     0.989504    -0.192155    -0.530344 
          20        0.003         0.27      7.35351      30      0.03194   0.00170842    0.0315984      1.01081     0.199959     0.556783 
          20        0.003         0.43      5.14894      31      0.03618   0.00196608    0.0356838      1.01391     0.252402      0.66532 
          20        0.003         0.67      3.13859      32      0.03927   0.00223667    0.0395748     0.992298     -0.13628    -0.322298 
          25        0.003         0.11      14.2223      33      0.03645   0.00775255     0.030091      1.21132     0.820244     0.864447 
          25        0.003         0.17       11.048      34      0.03156   0.00171676    0.0313715      1.00601     0.109773      0.28965 
          25        0.003         0.27      8.22147      35      0.03205   0.00172981     0.032708     0.979884    -0.380363      -1.0687 
          25        0.003         0.43      5.75669      36      0.03706   0.00200364    0.0363693      1.01899     0.344738     0.931908 
          25        0.003         0.67      3.50905      37      0.03909   0.00225268    0.0389318      1.00406    0.0702266     0.168044 
          35        0.003         0.17      13.0722      38      0.03132   0.00179729    0.0320152     0.978286    -0.386801    -0.921657 
          35        0.003         0.27      9.72778      39       0.0333   0.00178178    0.0339819     0.979934      -0.3827     -1.02386 
          35        0.003         0.43      6.81141      40      0.03691   0.00201692    0.0371372     0.993883    -0.112629    -0.287581 
          35        0.003         0.67      4.15196      41      0.03975   0.00237371    0.0381071      1.04311     0.692124      1.66392 
          45        0.003         0.27      11.0303      42      0.03306   0.00184337    0.0345224     0.957639    -0.793327     -1.82732 
          45        0.003         0.43      7.72342      43      0.03872   0.00213522    0.0375526      1.03109     0.546714       1.3298 
          45        0.003         0.67      4.70788      44      0.03844    0.0023571    0.0374793      1.02563     0.407595     0.882542 
          60        0.003         0.43      8.91823      45      0.03776   0.00214967    0.0378196     0.998424   -0.0277208   -0.0586511 
          60        0.003         0.67       5.4362      46      0.03728   0.00233559    0.0367443      1.01458      0.22935     0.461352 
          90        0.003         0.67      6.65795      47      0.03532   0.00279854    0.0356631     0.990378    -0.122614    -0.183272 
          12         0.01         0.02      24.2487      48      0.03014   0.00194421    0.0314622     0.957975    -0.680066     -1.14612 
          12         0.01        0.032      19.0526      49      0.02966   0.00188288     0.029451       1.0071     0.110991     0.189397 
          12         0.01         0.05      15.0997      50      0.02732    0.0017153    0.0266806      1.02396     0.372741     0.642921 
          12         0.01         0.08      11.7473      51      0.02545   0.00159322     0.024118      1.05523     0.836072      1.43788 
          12         0.01         0.13      8.96146      52      0.02165   0.00136807    0.0224965     0.962372    -0.618752     -1.05099 
